Time,pm10 standard,pm25 standard,pm100 standard,temperature,gas,humidity,pressure,altitude
1708732987.7679949,1,1,1,23.03390625,215280,32.12875192281682,1007.5405315152086,47.64403853466027
1708732988.7809122,0,0,0,23.0356640625,214026,32.16871496067962,1007.5451842537972,47.605123732974505
1708732989.7945905,0,0,0,23.038203125,213473,32.20306945231928,1007.5494272359381,47.56963619907756
1708732990.8079507,0,0,0,23.0376171875,216266,32.24853625901421,1007.5518786914113,47.54913272479476
1708732991.8202937,0,1,1,23.0360546875,215983,32.27116229095954,1007.5544135134182,47.52793203228741
1708732992.832864,0,1,1,23.03546875,217404,32.282493930896656,1007.5534343561723,47.53612148253359
1708732993.845461,0,1,1,23.0329296875,218554,32.27657658004623,1007.545760764098,47.60030189816604
1708732994.858164,1,1,1,23.029609375,218988,32.25920757542668,1007.5453580800963,47.60366987892566
1708732995.8708222,1,1,1,23.026484375,218988,32.23047788848963,1007.553858104285,47.532577348148465
1708732996.8838987,1,1,1,23.023359375,221334,32.207443080760356,1007.5554969429745,47.51887047947171
1708732997.8965116,0,1,1,23.0192578125,222826,32.18432570422778,1007.5606495249258,47.47577559046485
1708732998.9090724,0,1,1,23.014375,222376,32.155456240497145,1007.5576354113269,47.500984850716286
1708732999.9221554,0,1,1,23.014765625,222526,32.1441175323909,1007.5548577152642,47.52421683041041
1708733000.9365234,1,1,1,23.01125,223428,32.14949302149325,1007.5524130987255,47.54466305622799
1708733001.9502554,1,1,1,23.0048046875,222826,32.148922819233384,1007.5485029666511,47.57736660962573
1708733002.9633029,1,1,1,23.002265625,222976,32.143011842399986,1007.5459750375733,47.598509751569075
1708733003.9762783,0,0,0,23.00109375,223731,32.14859453850782,1007.5423014588373,47.62923497675929
1708733004.9902308,0,0,0,22.9977734375,226025,32.13692844030469,1007.5418983409942,47.63260659547116
1708733006.0043442,0,0,0,22.996015625,225255,32.1310871607236,1007.5389607786533,47.657175970442836
1708733007.0173216,0,1,1,22.993671875,226956,32.14225176490794,1007.5316136616393,47.71862651954603
1708733008.030323,1,2,2,22.9915234375,229796,32.136375757232166,1007.5331688659182,47.70561891681693
1708733009.042963,1,2,2,22.98859375,229000,32.1474888451383,1007.5368487969496,47.67484033622585
1708733010.055992,1,3,3,22.987421875,228368,32.14169902446287,1007.5383207494876,47.66252909570418
1708733011.0686316,1,3,3,22.988984375,230759,32.13046549772149,1007.5357864191376,47.68372595022994
